"Table S7A. Combined KEGG, C2, and GO systems map  for Drosophila and Mammalian orthologues of Drosophila candidate pain genes and binding partners",,,,,,,,,,,,
KEGG/C2,Gene sets,Gene set categories,Human Gene Symbol,Mouse Gene Symbol,Human Entrez ID,Mouse Entrez ID,Human Entrez to CGID,Mouse Entrez to CGID,Drosophila CGID,Unique List of CGID,Unique List of CGID per Category,No. of genes per categeory
C2,AGEING_BRAIN_DN,Nervous System Development,,"Cdh22,Atp5a1,Bcl11a,Calm3,Camk2a,Camk4,Cdh22,Cltb,E2f4,Elavl2,Gad1,Gfra2,Gorasp2,Pde4d",,"104010,11946,14025,12315,12322,12326,104010,74325,104394,15569,14415,14586,70231,238871",,"CG7100,CG3612,CG9650,CG8472,CG18069,CG18069,CG7100,CG6948,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940",,"CG7100,CG3612,CG9650,CG8472,CG18069,CG6948,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940","CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499,CG11901,CG8472,CG7100,CG1725,CG9415,CG8604,CG8048,CG6948,CG17137,CG1847,CG3083,CG3612,CG9650,CG18069,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940",29
KEGG,Pyrimidine metabolism ,Neuclic Acid Metabolism,,,,"110074,18971,20018,21915,22171,26462,50493,51797,55936,66401,66588,68556,70408,80914",,"CG4584,CG5949,,CG5757,CG3181,CG2151,CG2151,CG6854,CG6854,CG31713,CG17146,CG4798,CG5380,CG4798",,"CG4584,CG5949,,CG5757,CG3181,CG2151,CG6854,CG31713,CG17146,CG4798,CG5380","CG4584,CG5949,,CG5757,CG3181,CG2151,CG6854,CG31713,CG17146,CG4798,CG5380,CG2830,CG3225,CG5450,CG5501,CG6539,CG7347,CG9326,CG10689,CG1193,CG14940,CG17150,CG1725,CG31183,CG5977,CG7376,CG8520,CG8625,CG9323",28
KEGG,purine,Neuclic Acid Metabolism,,,,,,,"CG2830,CG3225,CG5450,CG5501,CG6539,CG7347,CG9326,CG10689,CG1193,CG14940,CG17146,CG17150,CG1725,CG31183,CG31713,CG5380,CG5949,CG5977,CG7376,CG8520,CG8625,CG9323","CG2830,CG3225,CG5450,CG5501,CG6539,CG7347,CG9326,CG10689,CG1193,CG14940,CG17146,CG17150,CG1725,CG31183,CG31713,CG5380,CG5949,CG5977,CG7376,CG8520,CG8625,CG9323","CG4584,CG5949,,CG5757,CG3181,CG2151,CG6854,CG31713,CG17146,CG4798,CG5380,CG2830,CG3225,CG5450,CG5501,CG6539,CG7347,CG9326,CG10689,CG1193,CG14940,CG17150,CG1725,CG31183,CG5977,CG7376,CG8520,CG8625,CG9323",28
KEGG,Neuroactive ligand-receptor interaction,Neurotransmitters,,,"10886,1268,1269,134,135,136,1901,1902,1903,23566,2587,2831,2832,4985,4986,4987,4988,53637,6751,6752,6753,6754,6755,7442,8484,8698,8811,886,887,9170,9294","104443,11539,11540,11541,11542,12425,12426,12801,12802,13609,13610,13611,14427,14428,14429,14739,14745,18386,18387,18389,18390,193034,20605,20606,20607,20608,20609,226304,53978,65086,94226","CG10823,CG12796,CG12796,CG9753,CG9753,CG9753,CG12796,CG12796,CG12796,CG12796,CG2872,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG12796,CG7285,CG7285,CG7285,CG7285,CG7285,CG5842,CG2872,CG12796,CG2872,CG6881,CG6881,CG12796,CG12796","CG10823,CG9753,CG9753,CG9753,CG9753,CG6881,CG6881,CG12796,CG12796,CG12796,CG12796,CG12796,CG2872,CG2872,CG2872,CG12796,CG12796,CG7285,CG7285,CG7285,CG7285,CG5842,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG12796,CG12796,CG12796",,"CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881","CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,ACETYLCHOLINE_SYNTHESIS,Neurotransmitters,"PDHA1,PDHA2","Pdha1,Pdha2","5160,5161","18597,18598","CG7010,CG7010","CG7010,CG7010",,CG7010,"CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,NDKDYNAMINPATHWAY,Neurotransmitters,"AMPH,BIN1,CALM1,CALM2,CALM3,EPS15","Calm2,Amph,Ap2a1,Bin1,Calm1,Calm2,Calm3,Eps15","273,274,801,805,808,2060","12314,218038,11771,30948,12313,12314,12315,13858","CG8604,CG8604,CG8472,CG8472,CG8472,CG16932","CG8472,CG8604,CG31654,CG8604,CG8472,CG8472,CG8472,CG16932",,"CG8604,CG8472,CG16932,CG31654","CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,NDKDYNAMINPATHWAY,Neurotransmitters,"AMPH,BIN1,CALM1,CALM2,CALM3,EPS15","Calm2,Amph,Ap2a1,Bin1,Calm1,Calm2,Calm3,Eps15","273,274,801,805,808,2060","12314,218038,11771,30948,12313,12314,12315,13858","CG8604,CG8604,CG8472,CG8472,CG8472,CG16932","CG8472,CG8604,CG31654,CG8604,CG8472,CG8472,CG8472,CG16932",,"CG8604,CG8472,CG16932,CG31654","CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,ACETYLCHOLINE_SYNTHESIS,Neurotransmitters,"PDHA1,PDHA2","Pdha1,Pdha2","5160,5161","18597,18598","CG7010,CG7010","CG7010,CG7010",,CG7010,"CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,NEUROTRANSMITTERSPATHWAY,Neurotransmitters,"GAD1,TH","Gad1,Th","2571,7054","14415,21823","CG7811,CG7399","CG7811,CG7399",,"CG7811,CG7399","CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,Neurotransmitters,"ADORA1,ADORA2A,ADORA2B,CCKAR,CCKBR,CNR1,CNR2,GALR1,NPBWR1,NPBWR2,OPRD1,OPRK1,OPRL1,OPRM1,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,TRPV1,GALR3,GALR2,NPFFR2","Adora1,Adora2a,Adora2b,Adora3,Cckar,Cckbr,Cnr1,Cnr2,Galr1,Galr2,Galr3,Npbwr1,Npffr2,Oprd1,Oprk1,Oprl1,Oprm1,Sstr1,Sstr2,Sstr3,Sstr4,Sstr5,Trpv1","134,135,136,886,887,1268,1269,2587,2831,2832,4985,4986,4987,4988,6751,6752,6753,6754,6755,7442,8484,8811,10886","11539,11540,11541,11542,12425,12426,12801,12802,14427,14428,14429,226304,104443,18386,18387,18389,18390,20605,20606,20607,20608,20609,193034","CG9753,CG9753,CG9753,CG6881,CG6881,CG12796,CG12796,CG2872,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG5842,CG2872,CG2872,CG10823","CG9753,CG9753,CG9753,CG9753,CG6881,CG6881,CG12796,CG12796,CG2872,CG2872,CG2872,CG7285,CG10823,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG5842",,"CG9753,CG6881,CG12796,CG2872,CG7285,CG5842,CG10823","CG10823,CG12796,CG9753,CG2872,CG7285,CG5842,CG6881,CG7010,CG8604,CG8472,CG16932,CG31654,CG7811,CG7399",14
C2,NFATPATHWAY,NFAT/Calcineurin,"ACTA1,AKT1,CALM1,CALM2,CALM3,CAMK4,CREBBP,MYH2,RPS6KB1,CAMK1,CAMK1G","Calm2,Acta1,Akt1,Calm1,Calm2,Calm3,Camk1,Camk1g,Camk4,Crebbp,Myh2,Rps6kb1","58,207,801,805,808,814,1387,4620,6198,8536,57172","12314,11459,11651,12313,12314,12315,52163,215303,12326,12914,17882,72508","CG4027,CG4006,CG8472,CG8472,CG8472,CG18069,CG15319,CG2174,CG4006,CG18069,CG18069","CG8472,CG4027,CG4006,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG15319,CG2174,CG4006",,"CG4027,CG4006,CG8472,CG18069,CG15319,CG2174","CG4027,CG4006,CG8472,CG18069,CG15319,CG2174,CG1086,CG12796,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842",14
C2,PGC1APATHWAY,NFAT/Calcineurin,"CALM1,CALM2,CALM3,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,SLC2A4,CAMK1,CAMK1G","Calm2,Calm1,Calm2,Calm3,Camk1,Camk1g,Camk2a,Camk2b,Camk2d,Camk2g,Camk4,Slc2a4","801,805,808,814,815,816,817,818,6517,8536,57172","12314,12313,12314,12315,52163,215303,12322,12323,108058,12325,12326,20528","CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG1086,CG18069,CG18069","CG8472,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG1086",,"CG8472,CG18069,CG1086","CG4027,CG4006,CG8472,CG18069,CG15319,CG2174,CG1086,CG12796,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842",14
C2,NFATPATHWAY,NFAT/Calcineurin,"ACTA1,AKT1,CALM1,CALM2,CALM3,CAMK4,CREBBP,MYH2,RPS6KB1,CAMK1,CAMK1G","Calm2,Acta1,Akt1,Calm1,Calm2,Calm3,Camk1,Camk1g,Camk4,Crebbp,Myh2,Rps6kb1","58,207,801,805,808,814,1387,4620,6198,8536,57172","12314,11459,11651,12313,12314,12315,52163,215303,12326,12914,17882,72508","CG4027,CG4006,CG8472,CG8472,CG8472,CG18069,CG15319,CG2174,CG4006,CG18069,CG18069","CG8472,CG4027,CG4006,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG15319,CG2174,CG4006",,"CG4027,CG4006,CG8472,CG18069,CG15319,CG2174","CG4027,CG4006,CG8472,CG18069,CG15319,CG2174,CG1086,CG12796,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842",14
C2,CALCINEURIN_NF_AT_SIGNALING,NFAT/Calcineurin,"ACTB,CALM1,CALM2,CALM3,CAMK4,CAMK2B,CNR1,CREBBP,CSNK2B,EP300,NFKB2,OPRD1,PPP3R1,RELA,TRPV6","Calm2,Actb,Calm1,Calm2,Calm3,Camk2b,Camk4,Cnr1,Crebbp,Csnk2b,Ep300,Nfkb2,Oprd1,Ppp3r1,Rela,Trpv6","60,801,805,808,814,816,1268,1387,1460,2033,4791,4985,5534,5970,55503","12314,11461,12313,12314,12315,12323,12326,12801,12914,13001,328572,18034,18386,19058,19697,64177","CG4027,CG8472,CG8472,CG8472,CG18069,CG18069,CG12796,CG15319,CG8914,CG15319,CG11992,CG7285,CG14353,CG6667,CG5842","CG8472,CG4027,CG8472,CG8472,CG8472,CG18069,CG18069,CG12796,CG15319,CG8914,CG15319,CG11992,CG7285,CG14353,CG6667,CG5842",,"CG4027,CG8472,CG18069,CG12796,CG15319,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842","CG4027,CG4006,CG8472,CG18069,CG15319,CG2174,CG1086,CG12796,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842",14
C2,CALCINEURINPATHWAY,NFAT/Calcineurin,"CALM1,CALM2,CALM3","Calm2,Calm1,Calm2,Calm3","801,805,808","12314,12313,12314,12315","CG8472,CG8472,CG8472","CG8472,CG8472,CG8472,CG8472",,CG8472,"CG4027,CG4006,CG8472,CG18069,CG15319,CG2174,CG1086,CG12796,CG8914,CG11992,CG7285,CG14353,CG6667,CG5842",14
C2,GCRPATHWAY,NFKB,"AKT1,CALM1,CALM2,CALM3,NFKB1,RELA","Calm2,Akt1,Calm1,Calm2,Calm3,Nfkb1,Rela","207,801,805,808,4790,5970","12314,11651,12313,12314,12315,18033,19697","CG4006,CG8472,CG8472,CG8472,CG11992,CG6667","CG8472,CG4006,CG8472,CG8472,CG8472,CG11992,CG6667",,"CG4006,CG8472,CG11992,CG6667","CG4006,CG8472,CG11992,CG6667,CG12532,CG5940,CG3510,CG7100,CG10872,CG31183,CG2248,CG1472,CG8137",13
C2,HINATA_NFKB_UP,NFKB,,"Ap2b1,Ccnb1,Cdh2,Ctse,Nfkb1,Nfkb2,Npr1,Rac1,Rac2,Rela,Relb,Sec24a,Serpinb2",,"71770,268697,12558,13034,18033,18034,18160,19353,19354,19697,19698,77371,18788",,"CG12532,CG5940,CG3510,CG7100,CG10872,CG11992,CG11992,CG31183,CG2248,CG2248,CG6667,CG6667,CG1472,CG8137",,"CG12532,CG5940,CG3510,CG7100,CG10872,CG11992,CG31183,CG2248,CG6667,CG1472,CG8137","CG4006,CG8472,CG11992,CG6667,CG12532,CG5940,CG3510,CG7100,CG10872,CG31183,CG2248,CG1472,CG8137",13
C2,NOS1PATHWAY,NOS/INOS,,"Calm2,Calm1,Calm2,Calm3,Dlg4",,"12314,12313,12314,12315,13385",,"CG8472,CG8472,CG8472,CG8472,CG1725",,"CG8472,CG1725","CG8472,CG1725,CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418,CG31654,CG11901,CG4006,CG10033,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119",25
C2,INOS_ALL_DN,NOS/INOS,"ACTB,AP1B1,CD36,DYNC1H1,EEF1A1,HSPB1,MYH9,PPP2R1A,SORD,VDAC1,RABAC1","Actb,Ap1b1,Ap2a1,Cd36,Dync1h1,Eef1a1,Eef1g,Hspb1,Myh9,Ppp2r1a,Rabac1,Sord,Vdac1","60,162,948,1778,1915,3315,4627,5518,6652,7416,10567","11461,11764,11771,12491,13424,13627,67160,15507,17886,51792,14470,20322,22333","CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418","CG4027,CG12532,CG31654,CG7422,CG17150,CG8280,CG11901,CG4183,CG2174,CG17291,CG1418,CG1982,CG17137",,"CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418,CG31654,CG11901","CG8472,CG1725,CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418,CG31654,CG11901,CG4006,CG10033,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119",25
C2,NO1PATHWAY,NOS/INOS,"ACTA1,AKT1,CALM1,CALM2,CALM3,PRKG1,PRKG2","Calm2,Acta1,Akt1,Calm1,Calm2,Calm3,Prkg1,Prkg2","58,207,801,805,808,5592,5593","12314,11459,11651,12313,12314,12315,19091,19092","CG4027,CG4006,CG8472,CG8472,CG8472,CG10033,CG10033","CG8472,CG4027,CG4006,CG8472,CG8472,CG8472,CG10033,CG10033",,"CG4027,CG4006,CG8472,CG10033","CG8472,CG1725,CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418,CG31654,CG11901,CG4006,CG10033,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119",25
C2,INOS_ALL_UP,NOS/INOS,"ACTG1,ATP6V1C1,CCNE1,CDK2,H2AFZ,PPA1,RAC1,TYMS,PABPC4,POLR1D","Actg1,Atp6v1c1,Ccne1,Cdk2,H2afz,Pabpc4,Ppa1,Rac1,Tyms","71,528,898,1017,3015,5464,5879,7298,8761,51082","11465,66335,12447,12566,51788,230721,67895,19353,22171","CG4027,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119","CG4027,CG8048,CG3938,CG8203,CG5499,CG5119,CG4634,CG2248,CG3181",,"CG4027,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119","CG8472,CG1725,CG4027,CG12532,CG7422,CG17150,CG8280,CG4183,CG2174,CG17291,CG1982,CG17137,CG1418,CG31654,CG11901,CG4006,CG10033,CG8048,CG3938,CG8203,CG5499,CG4634,CG2248,CG3181,CG5119",25
C2,HSA04330_NOTCH_SIGNALING_PATHWAY,Notch Signaling,"CREBBP,CTBP1,CTBP2,DTX1,EP300,NOTCH1,NOTCH2,NOTCH3,NOTCH4,DTX4,DLL1,DLL4,DTX2,DTX3L","Crebbp,Ctbp1,Ctbp2,Dll1,Dll4,Dtx1,Dtx2,Dtx3l,Dtx4,Ep300,Notch1,Notch2,Notch3,Notch4","1387,1487,1488,1840,2033,4851,4853,4854,4855,23220,28514,54567,113878,151636","12914,13016,13017,13388,54485,14357,74198,209200,207521,328572,18128,18129,18131,18132","CG15319,CG7583,CG7583,CG3929,CG15319,CG3936,CG3936,CG3936,CG3936,CG3929,CG3619,CG3619,CG3929,CG3929","CG15319,CG7583,CG7583,CG3619,CG3619,CG3929,CG3929,CG3929,CG3929,CG15319,CG3936,CG3936,CG3936,CG3936",,"CG15319,CG7583,CG3929,CG3936,CG3619","CG15319,CG7583,CG3929,CG3936,CG3619,CG6843,CG8384",7
KEGG,Notch signaling,Notch Signaling,,,"113878,1387,1487,1488,151636,1840,2033,23220,28514,4851,4853,4854,4855,54567","12914,13016,13017,13388,14357,18128,18129,18131,18132,207521,209200,328572,54485,74198","CG3929,CG15319,CG7583,CG7583,CG3929,CG3929,CG15319,CG3929,CG3619,CG3936,CG3936,CG3936,CG3936,CG3619","CG15319,CG7583,CG7583,CG3619,CG3929,CG3936,CG3936,CG3936,CG3936,CG3929,CG3929,CG15319,CG3619,CG3929","CG15319,CG3929,CG3936,CG6843,CG8384,CG3619","CG3929,CG15319,CG7583,CG3619,CG3936,CG6843,CG8384","CG15319,CG7583,CG3929,CG3936,CG3619,CG6843,CG8384",7
C2,HSA04740_OLFACTORY_TRANSDUCTION,Olfaction,"ARRB2,CALM1,CALM2,CALM3,CALML3,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PDE1C,PRKG1,PRKG2","Calm2,Arrb2,Calm1,Calm2,Calm3,Calml3,Camk2a,Camk2b,Camk2d,Camk2g,Pde1c,Prkg1,Prkg2","409,801,805,808,810,815,816,817,818,5137,5592,5593","12314,216869,12313,12314,12315,70405,12322,12323,108058,12325,18575,19091,19092","CG5711,CG8472,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG14940,CG10033,CG10033","CG8472,CG5711,CG8472,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG14940,CG10033,CG10033",,"CG5711,CG8472,CG18069,CG14940,CG10033","CG5711,CG8472,CG18069,CG14940,CG10033",5
C2,MOOTHA_VOXPHOS,Ox-phos,"ATP5E,COX6C,COX7A1,COX7A2,NDUFA6,NDUFAB1,NDUFB1,NDUFS1,NDUFS3,UQCRC1,COX7A2L,ATP5L,NDUFS7","Atp5e,Atp5l,Cox6c,Ndufa6,Ndufab1,Ndufs1,Ndufs3,Ndufs7,Uqcrc1","514,1345,1346,1347,4700,4706,4707,4719,4722,7384,9167,10632,374291","67126,27425,12864,67130,70316,227197,68349,75406,22273","CG9032,CG14028,CG9603,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG9603,CG7211,CG9172","CG9032,CG7211,CG14028,CG7712,CG9160,CG2286,CG12079,CG9172,CG3731",,"CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,ELECTRON_TRANSPORT,Ox-phos,"CYP3A7,CYP3A4,CYP3A5,CYP4A11,CYP4B1,CYP4F3,TBXAS1,UQCRC1,CYP4F2,CYP4F8,CYP4F11,CYP3A43,CYP4F12","Cyp4b1,Tbxas1,Uqcrc1","1551,1576,1577,1579,1580,4051,6916,7384,8529,11283,57834,64816,66002","13120,21391,22273","CG2060,CG2060,CG2060,CG2060,CG2060,CG2060,CG2060,CG3731,CG2060,CG2060,CG2060,CG2060,CG2060","CG2060,CG2060,CG3731",,"CG2060,CG3731","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,ATP_SYNTHESIS,Ox-phos,"ATP5E,ATP6V1C1,ATP6V0B,ATP6V0A1,ATP6AP1,ATP6V0A4,ATP6V1C2","Atp5e,Atp6ap1,Atp6v0a1,Atp6v0a4,Atp6v0b,Atp6v1c1,Atp6v1c2","514,528,533,535,537,50617,245973","67126,54411,11975,140494,114143,66335,68775","CG9032,CG8048,CG7007,CG1709,CG8029,CG1709,CG8048","CG9032,CG8029,CG1709,CG1709,CG7007,CG8048,CG8048",,"CG9032,CG8048,CG7007,CG1709,CG8029","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,OXIDATIVE_PHOSPHORYLATION,Ox-phos,"ATP4B,ATP5A1,ATP5E,ATP6V1C1,ATP6V0B,ATP6V0A1,ATP6AP1,COX6C,COX7A1,COX7A2,NDUFA6,NDUFAB1,NDUFB1,NDUFS1,NDUFS3,NDUFV2,PPA1,UQCRC1,TCIRG1,ATP5L,ATP6V0A2,PPA2,UQCRQ,ATP6V0A4,NDUFA11,ATP6V1C2,NDUFS7","Atp4b,Atp5e,Atp6ap1,Atp6v0a1,Atp6v0a4,Atp6v0b,Atp6v1c1,Atp6v1c2,Cox6c,Ndufa11,Ndufs1,Ndufv2,Ppa2,Uqcrc1","496,498,514,528,533,535,537,1345,1346,1347,4700,4706,4707,4719,4722,4729,5464,7384,10312,10632,23545,27068,27089,50617,126328,245973,374291","11945,67126,54411,11975,140494,114143,66335,68775,12864,69875,227197,72900,74776,22273","CG8663,CG3612,CG9032,CG8048,CG7007,CG1709,CG8029,CG14028,CG9603,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG4634,CG3731,CG1709,CG7211,CG1709,CG4634,CG7580,CG1709,CG9350,CG8048,CG9172","CG8663,CG9032,CG8029,CG1709,CG1709,CG7007,CG8048,CG8048,CG14028,CG9350,CG2286,CG5703,CG4634,CG3731",,"CG8663,CG3612,CG9032,CG8048,CG7007,CG1709,CG8029,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG4634,CG3731,CG7211,CG7580,CG9350,CG9172","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,KREBS_TCA_CYCLE,Ox-phos,"DLAT,DLD,PDHA1,PDHA2,PDHX","Dlat,Dld,Pdha1,Pdha2,Pdhx","1737,1738,5160,5161,8050","235339,13382,18597,18598,27402","CG5261,CG7430,CG7010,CG7010,CG5261","CG5261,CG7430,CG7010,CG7010,CG5261",,"CG5261,CG7430,CG7010","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,ETCPATHWAY,Ox-phos,"ATP5A1,UQCRC1","Atp5a1,Uqcrc1","498,7384","11946,22273","CG3612,CG3731","CG3612,CG3731",,"CG3612,CG3731","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
KEGG,Oxidative phosphorylation,Ox-phos,,,"10312,10632,126328,1345,1346,1347,23545,245973,27068,27089,374291,4700,4706,4707,4719,4722,4729,496,498,50617,514,528,533,535,537,5464,7384,9167","114143,11945,11946,11975,12864,140494,21871,22272,22273,227197,239760,27060,27425,54411,621837,622178,66152,66335,67126,67130,67895,68349,68775,69875,70316,72900,74776,75406","CG1709,CG7211,CG9350,CG14028,CG9603,CG9603,CG1709,CG8048,CG4634,CG7580,CG9172,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG8663,CG3612,CG1709,CG9032,CG8048,CG7007,CG1709,CG8029,CG4634,CG3731,CG9603","CG7007,CG8663,CG3612,CG1709,CG14028,CG1709,CG1709,CG7580,CG3731,CG2286,CG9350,CG1709,CG7211,CG8029,CG14028,CG8764,CG8764,CG8048,CG9032,CG7712,CG4634,CG12079,CG8048,CG9350,CG9160,CG5703,CG4634,CG9172","CG1746,CG4634,CG12079,CG14028,CG1709,CG18624,CG2286,CG3612,CG5703,CG7007,CG7211,CG7580,CG7712,CG8029,CG8048,CG8764,CG9032,CG9160,CG9172,CG9350,CG9603","CG1709,CG7211,CG9350,CG14028,CG9603,CG8048,CG4634,CG7580,CG9172,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG8663,CG3612,CG9032,CG7007,CG8029,CG3731,CG8764,CG1746","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,MALATEXPATHWAY,Ox-phos,"ME1,PDHA1","Me1,Pdha1","4199,5160","17436,18597","CG5889,CG7010","CG5889,CG7010",,"CG5889,CG7010","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
C2,ELECTRON_TRANSPORT_CHAIN,Ox-phos,"ATP5A1,ATP5E,COX6C,COX7A1,COX7A2,NDUFA6,NDUFAB1,NDUFB1,NDUFS1,NDUFS3,NDUFV2,UQCRC1,COX7A2L,ATP5L,PTPMT1,NDUFS7","Atp5a1,Atp5e,Atp5l,Cox6c,Ndufa6,Ndufab1,Ndufs1,Ndufs3,Ndufs7,Ndufv2,Uqcrc1","498,514,1345,1346,1347,4700,4706,4707,4719,4722,4729,7384,9167,10632,114971,374291","11946,67126,27425,12864,67130,70316,227197,68349,75406,72900,22273","CG3612,CG9032,CG14028,CG9603,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG3731,CG9603,CG7211,CG12079,CG9172","CG3612,CG9032,CG7211,CG14028,CG7712,CG9160,CG2286,CG12079,CG9172,CG5703,CG3731",,"CG3612,CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG3731,CG7211,CG9172","CG9032,CG14028,CG9603,CG7712,CG9160,CG18624,CG2286,CG12079,CG3731,CG7211,CG9172,CG2060,CG8048,CG7007,CG1709,CG8029,CG8663,CG3612,CG5703,CG4634,CG7580,CG9350,CG5261,CG7430,CG7010,CG8764,CG1746,CG5889",28
