MicroRNA name,Genome coordinates,Conserved region,"Start putative MRE
3'-UTR position
(NM_001025366)","End putative MRE
3'-UTR position
(NM_001025366)","MRE predicted by
microRNA.org
(468)","MRE predicted by
TargetScan
(† = MRE conserved)
(176)","MRE predicted by
DIANA microT v3.0
(38)","MRE predicted by
miRDB
(34)","MRE predicted by
Microcosm
(8)",Count,Experimental evidence
hsa-miR-449a,[hg19:6:43753464-43753486:+],Non-conserved region,1165,1187,yes,,,,,1 / 5,
hsa-miR-449b,[hg19:6:43753142-43753148:+]*,Non-conserved region,843,849,,yes,,,,1 / 5,
hsa-miR-449b,[hg19:6:43753464-43753486:+],Non-conserved region,1165,1187,yes,,,,,1 / 5,
hsa-miR-451,[hg19:6:43753548-43753569:+],Conserved region 2,1249,1270,yes,,,,,1 / 5,
hsa-miR-452,[hg19:6:43752725-43752746:+],Conserved region 1,426,447,yes,,,,,1 / 5,
hsa-miR-483-3p,[hg19:6:43752826-43752849:+],Non-conserved region,527,550,yes,,,,,1 / 5,
hsa-miR-484,[hg19:6:43753161-43753167:+]*,Non-conserved region,862,868,,yes,,,,1 / 5,
hsa-miR-492,[hg19:6:43752518-43752542:+],Conserved region 1,219,243,yes,,,,,1 / 5,
hsa-miR-494,[hg19:6:43753882-43753903:+],Conserved region 2,1583,1604,yes,,,,,1 / 5,
hsa-miR-499-5p,[hg19:6:43752411-43752434:+],Conserved region 1,112,135,yes,,,,,1 / 5,
hsa-miR-504,[hg19:6:43752892-43752898:+]*,Non-conserved region,593,599,,yes,,,,1 / 5,
hsa-miR-505,[hg19:6:43753395-43753417:+],Non-conserved region,1096,1118,yes,,,,,1 / 5,
hsa-miR-508-5p,[hg19:6:43752751-43752776:+],Conserved region 1,452,477,yes,,,,,1 / 5,
hsa-miR-512-3p,[hg19:6:43753713-43753735:+],Conserved region 2,1414,1436,yes,,,,,1 / 5,
hsa-miR-516a-3p,[hg19:6:43752507-43752513:+]*,Conserved region 1,208,214,,yes,,,,1 / 5,
hsa-miR-516a-5p,[hg19:6:43754101-43754121:+],Conserved region 2,1802,1822,yes,,,,,1 / 5,
hsa-miR-516b,[hg19:6:43752435-43752441:+]*,Conserved region 1,136,142,,yes,,,,1 / 5,
hsa-miR-519d,[hg19:6:43754175-43754196:+],Conserved region 2,1876,1897,yes,,,,,1 / 5,
hsa-miR-520a-5p,[hg19:6:43752528-43752550:+],Conserved region 1,229,251,yes,,,,,1 / 5,
hsa-miR-520d-5p,[hg19:6:43754180-43754199:+],Conserved region 2,1881,1900,yes,,,,,1 / 5,
hsa-miR-522,[hg19:6:43754011-43754035:+],Conserved region 2,1712,1736,yes,,,,,1 / 5,
hsa-miR-524-5p,[hg19:6:43754178-43754199:+],Conserved region 2,1879,1900,yes,,,,,1 / 5,
hsa-miR-525-5p,[hg19:6:43752529-43752550:+],Conserved region 1,230,251,yes,,,,,1 / 5,
hsa-miR-539,[hg19:6:43752676-43752699:+],Conserved region 1,377,400,yes,,,,,1 / 5,
hsa-miR-542-5p,[hg19:6:43753783-43753789:+]*,Conserved region 2,1484,1490,,yes,,,,1 / 5,
hsa-miR-543,[hg19:6:43752807-43752813:+]*,Conserved region 1,508,514,,yes,,,,1 / 5,
hsa-miR-545,[hg19:6:43752559-43752580:+],Conserved region 1,260,281,yes,,,,,1 / 5,
hsa-miR-545,[hg19:6:43752761-43752785:+],Conserved region 1,462,486,yes,,,,,1 / 5,
hsa-miR-548d-3p,[hg19:6:43753929-43753950:+],Conserved region 2,1630,1651,yes,,,,,1 / 5,
hsa-miR-550,[hg19:6:43753453-43753459:+]*,Non-conserved region,1154,1160,,yes,,,,1 / 5,
hsa-miR-559,[hg19:6:43753603-43753623:+],Conserved region 2,1304,1324,yes,,,,,1 / 5,
hsa-miR-562,[hg19:6:43754036-43754052:+],Conserved region 2,1737,1753,yes,,,,,1 / 5,
hsa-miR-567,[hg19:6:43753827-43753849:+],Conserved region 2,1528,1550,yes,,,,,1 / 5,
hsa-miR-567,[hg19:6:43753971-43753993:+],Conserved region 2,1672,1694,yes,,,,,1 / 5,
hsa-miR-568,[hg19:6:43752692-43752710:+],Conserved region 1,393,411,yes,,,,,1 / 5,
hsa-miR-568,[hg19:6:43753821-43753840:+],Conserved region 2,1522,1541,yes,,,,,1 / 5,
hsa-miR-570,[hg19:6:43753929-43753949:+],Conserved region 2,1630,1650,yes,,,,,1 / 5,
hsa-miR-570,[hg19:6:43754010-43754031:+],Conserved region 2,1711,1732,yes,,,,,1 / 5,
hsa-miR-571,[hg19:6:43753688-43753709:+],Conserved region 2,1389,1410,yes,,,,,1 / 5,
hsa-miR-574-5p,[hg19:6:43753767-43753773:+]*,Conserved region 2,1468,1474,,yes,,,,1 / 5,
hsa-miR-577,[hg19:6:43752689-43752709:+],Conserved region 1,390,410,yes,,,,,1 / 5,
hsa-miR-577,[hg19:6:43753933-43753954:+],Conserved region 2,1634,1655,yes,,,,,1 / 5,
hsa-miR-577,[hg19:6:43754019-43754039:+],Conserved region 2,1720,1740,yes,,,,,1 / 5,
hsa-miR-579,[hg19:6:43752447-43752453:+]*,Conserved region 1,148,154,,yes†,,,,1 / 5,
hsa-miR-582-3p,[hg19:6:43753548-43753569:+],Conserved region 2,1249,1270,yes,,,,,1 / 5,
hsa-miR-583,[hg19:6:43753529-43753549:+],Conserved region 2,1230,1250,yes,,,,,1 / 5,
hsa-miR-583,[hg19:6:43753991-43754011:+],Conserved region 2,1692,1712,yes,,,,,1 / 5,
hsa-miR-586,[hg19:6:43754170-43754193:+],Conserved region 2,1871,1894,yes,,,,,1 / 5,
hsa-miR-590-3p,[hg19:6:43752670-43752690:+],Conserved region 1,371,391,yes,,,,,1 / 5,
hsa-miR-590-3p,[hg19:6:43752699-43752719:+],Conserved region 1,400,420,yes,,,,,1 / 5,
hsa-miR-590-3p,[hg19:6:43753910-43753929:+],Conserved region 2,1611,1630,yes,,,,,1 / 5,
hsa-miR-590-3p,[hg19:6:43754047-43754068:+],Conserved region 2,1748,1769,yes,,,,,1 / 5,
hsa-miR-593,[hg19:6:43752460-43752480:+],Conserved region 1,161,181,yes,,,,,1 / 5,
hsa-miR-593,[hg19:6:43753240-43753246:+]*,Non-conserved region,941,947,,yes,,,,1 / 5,
hsa-miR-593,[hg19:6:43753461-43753467:+]*,Non-conserved region,1162,1168,,yes,,,,1 / 5,
hsa-miR-609,[hg19:6:43752635-43752641:+]*,Conserved region 1,336,342,,yes,,,,1 / 5,"Jafarifar et al., EMBO J, 2011"
hsa-miR-612,[hg19:6:43752907-43752913:+]*,Non-conserved region,608,614,,yes,,,,1 / 5,
hsa-miR-613,[hg19:6:43752489-43752517:+]$,Conserved region 1,190,218,,,yes,,,1 / 5,
hsa-miR-619,[hg19:6:43753009-43753035:+],Non-conserved region,710,736,yes,,,,,1 / 5,
hsa-miR-620,[hg19:6:43752682-43752701:+],Conserved region 1,383,402,yes,,,,,1 / 5,
hsa-miR-629,[hg19:6:43752970-43752976:+]*,Non-conserved region,671,677,,yes,,,,1 / 5,
hsa-miR-633,[hg19:6:43753611-43753632:+],Conserved region 2,1312,1333,yes,,,,,1 / 5,
hsa-miR-633,[hg19:6:43753832-43753855:+],Conserved region 2,1533,1556,yes,,,,,1 / 5,
hsa-miR-637,[hg19:6:43753132-43753138:+]*,Non-conserved region,833,839,,yes,,,,1 / 5,
hsa-miR-641,[hg19:6:43752847-43752869:+],Non-conserved region,548,570,yes,,,,,1 / 5,
hsa-miR-650,[hg19:6:43753765-43753786:+],Conserved region 2,1466,1487,yes,,,,,1 / 5,
hsa-miR-651,[hg19:6:43754041-43754063:+],Conserved region 2,1742,1764,yes,,,,,1 / 5,
hsa-miR-651,[hg19:6:43754158-43754179:+],Conserved region 2,1859,1880,yes,,,,,1 / 5,
hsa-miR-652,[hg19:6:43752544-43752564:+],Conserved region 1,245,265,yes,,,,,1 / 5,
hsa-miR-653,[hg19:6:43753606-43753628:+],Conserved region 2,1307,1329,yes,,,,,1 / 5,
hsa-miR-654-3p,[hg19:6:43753909-43753934:+],Conserved region 2,1610,1635,yes,,,,,1 / 5,
hsa-miR-654-3p,[hg19:6:43754151-43754172:+],Conserved region 2,1852,1873,yes,,,,,1 / 5,
hsa-miR-655,[hg19:6:43753856-43753876:+],Conserved region 2,1557,1577,yes,,,,,1 / 5,
hsa-miR-656,[hg19:6:43753521-43753541:+],Conserved region 2,1222,1242,yes,,,,,1 / 5,
hsa-miR-656,[hg19:6:43753839-43753860:+],Conserved region 2,1540,1561,yes,,,,,1 / 5,
hsa-miR-656,[hg19:6:43753869-43753890:+],Conserved region 2,1570,1591,yes,,,,,1 / 5,
hsa-miR-765,[hg19:6:43753419-43753425:+]*,Non-conserved region,1120,1126,,yes,,,,1 / 5,
hsa-miR-765,[hg19:6:43753691-43753716:+],Conserved region 2,1392,1417,yes,,,,,1 / 5,
hsa-miR-767-5p,[hg19:6:43754025-43754047:+],Conserved region 2,1726,1748,yes,,,,,1 / 5,
hsa-miR-875-3p,[hg19:6:43753580-43753600:+],Conserved region 2,1281,1301,yes,,,,,1 / 5,
hsa-miR-876-5p,[hg19:6:43754145-43754166:+],Conserved region 2,1846,1867,yes,,,,,1 / 5,
hsa-miR-889,[hg19:6:43752655-43752675:+],Conserved region 1,356,376,yes,,,,,1 / 5,
hsa-miR-889,[hg19:6:43753736-43753757:+],Conserved region 2,1437,1458,yes,,,,,1 / 5,
hsa-miR-920,[hg19:6:43753251-43753279:+]$,Non-conserved region,952,980,,,yes,,,1 / 5,
hsa-miR-920,[hg19:6:43753251-43753279:+]$,Conserved region 2,952,980,,,yes,,,1 / 5,
hsa-miR-922,[hg19:6:43752556-43752580:+],Conserved region 1,257,281,yes,,,,,1 / 5,
hsa-miR-93,[hg19:6:43754174-43754196:+],Conserved region 2,1875,1897,yes,,,,,1 / 5,
hsa-miR-934,[hg19:6:43752629-43752635:+]*,Conserved region 1,330,336,,yes,,,,1 / 5,
hsa-miR-934,[hg19:6:43753909-43753932:+],Conserved region 2,1610,1633,yes,,,,,1 / 5,
hsa-miR-936,[hg19:6:43754031-43754052:+],Conserved region 2,1732,1753,yes,,,,,1 / 5,
hsa-miR-942,[hg19:6:43753963-43753984:+],Conserved region 2,1664,1685,yes,,,,,1 / 5,
hsa-miR-943,[hg19:6:43753550-43753570:+],Conserved region 2,1251,1271,yes,,,,,1 / 5,
hsa-miR-15b,[hg19:6:43753069-43753094:+]%,Non-conserved region,770,795,,,,,,0 / 5,"Hua et al., PLoS ONE, 2006"
hsa-miR-140-5p,[hg19:6:43752373-43752392:+]‡,Conserved region 1,74,93,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-147,[hg19:6:43753093-43753116:+]‡,Non-conserved region,794,817,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-15a,[hg19:6:43753077-43753094:+]‡,Non-conserved region,778,795,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-107,[hg19:6:43753070-43753093:+]%,Non-conserved region,771,794,,,,,,0 / 5,"Hua et al., PLoS ONE, 2006"
hsa-miR-16,[hg19:6:43753092-43753121:+]‡,Non-conserved region,793,822,,,,,,0 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008"
hsa-miR-17,[hg19:6:43753075-43753098:+]‡,Non-conserved region,776,799,,,,,,0 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008"
hsa-miR-205,[hg19:6:43753023-43753048:+]‡,Non-conserved region,724,749,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-20b,[hg19:6:43753076-43753098:+]‡,Non-conserved region,777,799,,,,,,0 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008"
hsa-miR-34a,[hg19:6:43752371-43752398:+]‡,Conserved region 1,72,99,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-34b,[hg19:6:43752377-43752399:+]‡,Conserved region 1,78,100,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-372,[hg19:6:43753120-43753147:+]‡,Non-conserved region,821,848,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-373,[hg19:6:43753124-43753147:+]‡,Non-conserved region,825,848,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-378,[hg19:6:43753141-43753163:+]‡,Non-conserved region,842,864,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-520g,[hg19:6:43753073-43753099:+]‡,Non-conserved region,774,800,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-520h,[hg19:6:43753075-43753099:+]‡,Non-conserved region,776,800,,,,,,0 / 5,"Ye et al., PLoS ONE, 2008"
+ = genome coordinates from miRDB predictions,,,,,,,,,,,
$ = genome coordinates from DIANA predictions,,,,,,,,,,,
* = genome coordinates from TargetScan predictions,,,,,,,,,,,
"% = genome coordinates from Hua et al., PLoS ONE, 2006",,,,,,,,,,,
"‡ = genome coordinates from Ye et al., PLoS ONE, 2008",,,,,,,,,,,
all other genome coordinatesa from microRNA.org predictions,,,,,,,,,,,
